Fecha,% var.
03.05.2024,+6.36%
02.05.2024,+1.83%
30.04.2024,+0.60%
29.04.2024,+1.77%
26.04.2024,+4.26%
25.04.2024,+1.69%
24.04.2024,-5.03%
23.04.2024,-0.58%
22.04.2024,+2.48%
19.04.2024,+0.14%
18.04.2024,+0.07%
17.04.2024,+1.82%
16.04.2024,-0.04%
15.04.2024,-9.88%
12.04.2024,+6.05%
11.04.2024,+1.38%
10.04.2024,-6.75%
09.04.2024,+10.28%
08.04.2024,+1.08%
05.04.2024,+0.11%
04.04.2024,-0.46%
03.04.2024,+2.60%
