SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bolsa de Valores,,2024-05-13 00:00:00,10664.0,10559.0,10559.0,10583.0,9.67M,0.0
2,Bolsa de Valores,,2024-05-14 00:00:00,10599.0,10495.0,10530.0,10535.0,11.28M,0.0
3,Bolsa de Valores,,2024-05-15 00:00:00,10588.0,10139.0,10562.0,10277.0,20.75M,0.0
4,Bolsa de Valores,,2024-05-16 00:00:00,10403.0,10284.0,10304.0,10337.0,9.48M,0.0
5,Bolsa de Valores,,2024-05-17 00:00:00,10382.0,10304.0,10363.0,10325.0,7.36M,0.0
6,Bolsa de Valores,,2024-05-20 00:00:00,10367.0,10252.0,10333.0,10290.0,7.67M,0.0
7,Bolsa de Valores,,2024-05-21 00:00:00,10370.0,10272.0,10299.0,10301.0,7.33M,0.0
8,Bolsa de Valores,,2024-05-22 00:00:00,10383.0,10275.0,10298.0,10302.0,7.19M,0.0
9,Bolsa de Valores,,2024-05-23 00:00:00,10301.0,10027.0,10298.0,10066.0,10.43M,0.0
10,Bolsa de Valores,,2024-05-24 00:00:00,10209.0,10069.0,10085.0,10176.0,6.45M,0.0
11,Bolsa de Valores,,2024-05-28 00:00:00,10286.0,10094.0,10179.0,10246.0,7.63M,0.0
12,Bolsa de Valores,,2024-05-29 00:00:00,10208.0,10077.0,10176.0,10088.0,7.38M,0.0
13,Bolsa de Valores,,2024-05-30 00:00:00,10207.0,10097.0,10114.0,10170.0,7.30M,0.0
14,Bolsa de Valores,,2024-05-31 00:00:00,10408.0,10141.0,10152.0,10391.0,14.74M,0.0
15,Bolsa de Valores,,2024-06-03 00:00:00,10422.0,10248.0,10417.0,10277.0,6.91M,0.0
16,Bolsa de Valores,,2024-06-04 00:00:00,10349.0,10163.0,10211.0,10333.0,7.27M,0.0
17,Bolsa de Valores,,2024-06-05 00:00:00,10308.0,10103.0,10300.0,10150.0,10.80M,0.0
18,Bolsa de Valores,,2024-06-06 00:00:00,10193.0,10081.0,10105.0,10121.0,10.29M,0.0
19,Bolsa de Valores,,2024-06-07 00:00:00,10227.0,10055.0,10086.0,10154.0,6.05M,0.0
20,Bolsa de Valores,,2024-06-10 00:00:00,10285.0,10064.0,10125.0,10274.0,7.63M,0.0
21,Bolsa de Valores,,2024-06-11 00:00:00,10288.0,10074.0,10264.0,10087.0,9.13M,0.0
22,Bolsa de Valores,,2024-06-12 00:00:00,10168.0,10025.0,10120.0,10080.0,9.02M,0.0
23,Bolsa de Valores,,2024-06-13 00:00:00,10107.0,9962.0,10061.0,10009.0,10.15M,0.0
